,Review,Stars,City/St,City,State,Retailer,Date
10,"My product was more than eight days late, and has been sitting in Indiana indefinitely. I had to be the one to contact them to initiate a return or replacement. This company made me feel invisible. They truly won't do anything to help you if something goes wrong.",1,"Milwaukee, WI",Milwaukee, WI,Bed Bath and Beyond,2021-09-06
11,"I ordered a vacuum $200. They delivered it to the wrong address. My neighbour's. I went outside right away when I received their tracking **. It was delivered. I gave 1 star 5 times. No vacuum outside. No package outside. I asked my neighbour if they received a package and they said no way. They would have given it to me. They know my name. I called Bed Bath and Beyond and they gave me the run around and said, ""Go ask your neighbours."" I did. I also sent emails asking for a signature or a picture of the package outside the door they delivered it to. Guess what? Because of Covid they have neither!!! I am out $200 and a vacuum. I work retail also and we do not treat customers this way at all. Thanks for nothing bed bath and beyond. I will never ever go into the store again. Their reviews are all right so BUYER BEWARE when you shop here.",1,"Mississauga, Other",Mississauga, Other,Bed Bath and Beyond,2021-08-21
12,"I first tried to order some champagne glasses. They appeared to be in stock, until I put them in the cart. I signed up to get a back in stock notification on Aug. 6th. I did receive one on Aug. 17th. I ordered the glasses and used my 20% off coupon that I get all time. My delivery was between 8/24 - 8/25. On 8/18 I get a notification that my delivery was running behind and the new date was 8/25 - 8/26. Today on 8/20 I get a notification ""Unfortunately we're not able to fulfill part of your order"" and they canceled my order. This is really annoying as I was expecting these glasses for a party. I guess I will go ahead and buy them from another website, which I was going to in the first place. This is not the first time I've had this type of problem with BB&B.",1,"Palm Springs, CA",Palm Springs, CA,Bed Bath and Beyond,2021-08-20
13,"I ordered a onesie for my grandson. A couple of days later I received a notification that it had been shipped. Two days later, it still showed that it had not been sent to a carrier so I called them. They told me it was out of stock and they would refund my money. Why in the world would they tell me something shipped when they didn't actually have it in stock? That's unethical and should be illegal. It seems like every time I try to orders something, I get an out of stock when I go to checkout. While I understand there are shortages due to COVID, be honest about it and tell me it's out of stock before I put it in my cart.",1,"Annandale, VA",Annandale, VA,Bed Bath and Beyond,2021-08-01
14,"The last few online orders I placed with BBB have been a disaster. Defective merchandise arrives that never should have passed quality control, packages arrive late or not at all, etc. This company used to have much higher standards; now I think you can get better service from a vending machine. SHAME ON THEM!",1,"Boca Raton, FL",Boca Raton, FL,Bed Bath and Beyond,2021-07-22
15,"Ordered item 6/19/21. Bed Bath tracking says it's in my town on 6/21. 7/1, not yet delivered. USPS tracking says pkg in Atlanta waiting pickup. Cust service: oops, must be lost. Re-ordered 7/1. It's 7/8, again USPS says pkg in Atlanta waiting pickup. Soooo messed up! Cust serv is gushy-sweet, but can't tell me where, why, how, when. I quit.",1,"Hendersonville, NC",Hendersonville, NC,Bed Bath and Beyond,2021-07-08
16,"As a person with a pre existing disease I try to limit my outside interactions, thus I needed a new tooth brush. I place the order online and wanted it to ship to me. The latest possible time of arrival was suppose to be the 26th (today). My order has not even been sent out yet as of today. I do a chat with them to see what is the issue. Their excuse was their shipper is having issues and is backed up. So you knew this as a company but yet still allowed me to order without any warnings. Nor did you reach out just as basic humans to inform me they are having shipping issues. They just took my money and basically did not care if I get my order or not... Their attitude was nonchalant. So I asked, ""Why can’t you just set me up to pick up my items at my local store."" Their reply was they can not change an order delivery method once it has been complete. But how can it be complete when it’s never left the warehouse. But again they act like it’s just my problem. ",1,"Fayetteville, NC",Fayetteville, NC,Bed Bath and Beyond,2021-04-27
17,"Item was ordered on April 2nd, Received email on April 3rd that package had shipped, however, according to tracking, package did not ship until April 12th. When the package had failed to ship by April 10th, I attempted to cancel order but was told I could not because the order was complete. I spoke to customer service twice, once on April 9th and again on April 10th. I was told both times that the package was ""guaranteed"" to arrive on April 12th. It did not arrive until April 16th.  Customer service people obviously spoke English as a second language and were entirely unsympathetic and unhelpful. I will never order from Bed, Bath & Beyond again.",1,"Kenefic, OK",Kenefic, OK,Bed Bath and Beyond,2021-04-16
18,"We bought a 14-piece set of Rachael Ray Hard Enamel Nonstick Aluminum Cookware and the stockpot was defective. The lid won't seal because the pot was misshapen when it was shipped to us. We contacted customer service when we noticed this defect and were offered a $15 credit for a pot that costs $39. We just wanted them to send us a new stockpot but customer service wouldn't answer our emails. We even sent pictures of the defect and still no answer. So we finally went to the store (120 miles away) to speak to them and the only way we could get a new stockpot was to return the WHOLE set. We will NEVER buy anything from Bed, Bath & Beyond again.",1,"Sterling, CO",Sterling, CO,Bed Bath and Beyond,2021-04-07
19,"I went all the way to the store to buy a NINJA air fryer on the very first day of the sale as advertised in their latest flyer (March 22, 2021) within a few minutes of store opening and I was told they never had it in stock! ""Check again in a few days"", I was told - they had no idea when it would come in. So why was it in the flyer at all? I think I'll stick to COSTCO, always been my favourite anyway.",1,"Coquitlam, BC",Coquitlam, BC,Bed Bath and Beyond,2021-03-23
20,"I spent thousand and thousand of dollars with Bed Bath and Beyond and Buy Buy Baby for my newborn baby. I used to order online with no issue. I purchased a yearly Beyond + membership from them on last December; they have taken it away as of a couple of weeks ago from me with no reasoning - when I called the customer service for it they told me that my membership is still active at first but now they tell me it has been ""discontinued"".",1,"Plainview, NY",Plainview, NY,Bed Bath and Beyond,2021-03-20
21,"When I bought stuff on line I received confirmation with wrong delivery address and I try to change to my address multiple times, but except confirmation on my email that someone try to change address nothing happens. Next day I call customer service and they ensure me that they finally able to change address, but forgot to mention that if I fail to do it in first 30 min after ordering, they will deliver to wrong address. That exactly what happened. After multiple calls when I did not receive my stuff, I was told that someone contact me with information. Never happened.",1,"Scarborough, ON",Scarborough, ON,Bed Bath and Beyond,2021-02-12
22,"I purchased SALT® 16 qt. Stainless Steel Stock Pot that got rusted/chipped after 1 use. I brought it to the store and customer service refused to accept it. Said I have to call SALT for warranty, gave me the number that I called 7 times and the call was never answered. Also, SALT is Bed Bath and Beyond brand and they still refused the defective item return.",1,"Brooklyn, NY",Brooklyn, NY,Bed Bath and Beyond,2021-02-06
23,This company must be in deep trouble. I have purchased in stores and online for years and never had issues until the past year. Orders always have missing and/or cancelled items. Customer service is polite but very slow and seems unable to assist. Delivery of orders takes forever and is sometimes sent to a wrong address (one I never entered). Not worth the hassle! I will no longer purchase from them.,1,"Baton Rouge, LA",Baton Rouge, LA,Bed Bath and Beyond,2021-01-30
24,I stopped into BB&B today (I have mobility issues) and I needed to be directed to the one item I was seeking. At the entrance at CUSTOMER SERVICE I asked a fellow for directions. He said he didn't know where it was. He summoned someone who eventually showed up (about 5 minutes later) who also didn't know. Said he had to look it up on the computer. After a painful 12 minutes or so I learned you didn't have what I was looking for. That is my last trip to your store (located so conveniently to me I might add). Atrocious lack of service. Signed disgusted.,1,"Victoria, BC",Victoria, BC,Bed Bath and Beyond,2021-01-25
25,"I've done business with BB&B for many years purchasing items for myself and for wedding & shower gifts. I am appalled that the company has chosen to become part of the cancel culture and refusing to carry Mr. Lindell's products. This decision is reprehensible and not the way Americans do business. I realize my personal decision to no longer patronize BB&B means little to them which is reflective of their new cancel culture business practice. However, I will encourage everyone I know to cancel BB&B and discontinue shopping there.",1,"Goose Creek, SC",Goose Creek, SC,Bed Bath and Beyond,2021-01-23
26,"I placed an order online based on the availability and estimated delivery date. Two days past the expected date, I tracked the package and it had not shipped. When I called to inquire as to delivery date, I was told it had shipped and it would arrive the next day. When I told the agent that I was looking at the tracking and it had not even left the warehouse, it was just silence. I demanded a refund. Apparently, their customer service agents are trained to be untruthful.",1,"Jacksboro, TN",Jacksboro, TN,Bed Bath and Beyond,2021-01-21
27,"I previously did a lot of business with company over the years. However, since recently after they decided to remove My Pillows products from their stores, I realized that I am not supporting this company with spending one more dine in their store! They illustrated pure bigotry by cutting this American manufacturing company out solely because of differences in political views. The products that I have purchased lately have been low quality so I was teetering on ordering from them anyways. But now this bigotry was the final straw. Goodbye! I'm canceling my membership here and won't be back. I'm sorry My pillow that this company failed you!",1,"Utica, MI",Utica, MI,Bed Bath and Beyond,2021-01-21
28,"Ordered Instant Pot on 11/28. Shipped early for Christmas, and somehow their shipping provider couldn’t track it. Called representative on Xmas Eve for refund. Got case number and expecting it in 5-7 business days. Case number ** still unresolved. Believe it or not the thing shows up a week later. No communication from BBB related to case, I have an Instant Pot I don’t need as I bought a new one from Target on Xmas Eve. Will be dropping my BBB+ membership at end of year and giving my business to Target. Lack of internal business support services and poor customer service communication. Lesson learned. Deliver to store or buy there if you really want it.",1,"Omaha, NE",Omaha, NE,Bed Bath and Beyond,2021-01-10
29,"I placed an order on December 5; you know, assuming that the date is more than enough time to receive the item before Christmas. I get a notification that my order was shipped on December 10. Not a problem. After almost a week, I noticed that I never received my package so I go to track it. My package had not been shipped until 12/16 according to the app used by BB and B. From 12/16 until today 12/25, my package is still in transit. I chatted with an online specialist yesterday (Pauline was the name). After the irritating ‘We apologize for the delay and inconvenience’ rhetoric, I was told that my item wasn’t due to ship until Christmas Day. ",1,"Orland Park, IL",Orland Park, IL,Bed Bath and Beyond,2020-12-25
30,"I ordered a duvet set in early December. Firstly, I received the wrong order number and the item said it had been delivered to Buffalo - I am in Ontario Canada. I was told to contact FedEx for details. 1 week later it was delivered to my actual address. I decided I didn’t like the duvet and followed the online steps to initiate the return and dropped it off at an approved FedEx location. The next day FedEx indicated it was received. 2 weeks passed with no refund of $135 to my credit card. I called customer service with all required information, waited on hold for 30 minutes and then was connected to a disgruntled agent who insisted my item had not been received and I hadn’t followed the correct process.",1,"Mississauga, ON",Mississauga, ON,Bed Bath and Beyond,2020-12-22
31,I ordered online & Bed Bath & Beyond kept my money even after the Customer Service rep (Michelle -Asian decent) saw the store cancelled my order. Then Michelle hung up on me. Terrible return process now I have to go to my bank for assistance. Non-professional and uncalled for. Extra work during Christmas. Will NEVER use again.,1,"Redford, MI",Redford, MI,Bed Bath and Beyond,2020-12-22
32,"I ordered an all-clad sauce pan online Dec 1, 2020. My payment was processed, I received emails saying my order was processed, then another said it shipped, another said it would arrive soon and finally the last one said it was delivered. Nothing had been delivered. When I finally found a phone number to call, the woman taking the call was pleasant, she explained that the item has not been in stock since last February. (What triggered the emails?) She said BB&B is having problems with their system. I would get a refund in three weeks. They’ve had my money for three weeks already- best case they tie up $150 for 6 weeks for an item they never had in stock. To top it off, I missed my chance to get the manufacturers holiday sale price elsewhere.",1,"Hull, MA",Hull, MA,Bed Bath and Beyond,2020-12-22
33,"Many years ago I used to frequent Bed, Bath & Beyond. I purchased everything from drapes, bedding, candles, kitchenware, etc. Due to a move to a remote area, it’s been over 5 years since I’ve made a purchase through them. I decided this year to purchase an artificial Christmas tree. It’s been rough on everyone, and I’m no exception. Even though it was a big expense, I bought an almost $200 tree. I ordered it on November 22, figuring that was plenty of time to get a tree, decorate it and brighten the Covid Christmas blues. I received an email on November 24 stating that it had been shipped. Well, super! That means it will be here in plenty of time to enjoy through the holidays. On December 9, I decided to check on the status and when I clicked on “track”, it showed that the item was still at the warehouse.",1,"Frazier Park, CA",Frazier Park, CA,Bed Bath and Beyond,2020-12-20
34,"I used to order or buy from Bed Bath Beyond often and slowly began to experience poor service so I moved on for about a year. I decided to give another chance and I bought the membership hoping they figured out their systems and staffing. I placed an order and it was lost. Waited like a month and placed another order, which I was also told was lost. I am DONE and asked to discontinue and be refunded the membership all things considered. I received a generic message that it would not be refunded as it has been more than 30 days. What did I get for my membership... 2 lost packages! Completely ridiculous!",1,"Chicago, IL",Chicago, IL,Bed Bath and Beyond,2020-12-17
35,"In the past 6 months I have ordered twice from the Bed Bath And Beyond web site. The first Item ordered was a Braun Coffee Maker. When the item arrived I opened it up eager to brew a pot of coffee. While unboxing the item there were broken pieces in the box. No big deal. I can call Braun to have new parts sent, they were not important for brewing coffee. I started to get the coffee maker ready and found coffee stains on the carafe. Someone had returned the item and they shipped it to me.",1,"Appomattox, VA",Appomattox, VA,Bed Bath and Beyond,2020-12-17
36,"I placed an order online and paid; received an email that I would be notified within 2 hours and I would be able to pick it up curbside. I called and they said they’re busy and back up with orders but I should be notified soon. It is now been almost 5 hours and still no email as to when I can pick up my order. If you’re going to advertise 2hour pickup, then you should honor it.",1,"Dumont, NJ",Dumont, NJ,Bed Bath and Beyond,2020-12-16
37,"Don't order anything online from Bed Bath & Beyond! After waiting 2 weeks for my order, I called customer service to understand where it was. First of all, you will not be able to understand the customer service agent, secondly they will inform you that a replacement order can take up to another 2 weeks. When you ask to speak to a manager you will be placed on hold for an hour.",1,"Dewart, PA",Dewart, PA,Bed Bath and Beyond,2020-12-16
38,"Requesting for refund is frustrating. They kept promising they will refund me in 2-3 days but it has been almost 3 weeks and still nothing. I strongly do not recommend this company. Waste of time talking to their customer service. I contacted them 4 times and every time, it is the same experience...frustrating.",1,"Australia, Other",Australia, Other,Bed Bath and Beyond,2020-12-16
39,"I placed an online order December 3 2020. Updates were limited. Last updated said item would be delivered December 12. No tracking information was online & I didn’t receive item. Called customer service today, & was told after 20 minutes that the person I was speaking to worked from home & couldn’t find information on my order & she canceled it with no resolution. BB&B has terrible online customer service & I will not order from them again. I went on Amazon; item is in stock & will be here in 3 days. Should have started with them in the place.",1,"Clarkston, MI",Clarkston, MI,Bed Bath and Beyond,2020-12-15
40,"I placed an order Dec. 10 for 5 items. When placing the order, it said all items would be received between December 11-16. I received an email saying one item had shipped on December 10. Today, Dec. 15, I checked the status of my order, and the item that was supposedly shipped on December 10 was only picked up today! They have no information on the remaining four items that are still ""processing"". What a joke! No wonder they are losing so much business to Amazon. I tried to use their chat system (which is apparently automated) and the cut and paste reply was ""orders placed on or before December 6 should appear in the tracking system. Customer service representatives cannot provide information on orders placed after that date."" So they have no clue what is going on with 10 days worth of orders, and obviously don't care enough about their customers to even try to provide information.",1,"Appleton, WI",Appleton, WI,Bed Bath and Beyond,2020-12-15
41,"I placed an order on November 20. I received a tracking number within a couple of days. However, the shipping company continues to move the delivery date and now it is not showing an estimated time of delivery. I called Bed Bath and Beyond customer service and received no help with my order. This is the second time this has happened trying to get something shipped from them.",1,"El Dorado, AR",El Dorado, AR,Bed Bath and Beyond,2020-12-14
42,"I have been a loyal Bed Bath and Beyond customer both in store and online for many years - from doing my wedding registry to my new house registry! I recently ran into an issue and when I tried to use the live chat about 50 times, it was down and I had to call. Calling and waiting for hours to get someone. All the person on the phone could do was say ""sorry.""",1,"Philadelphia, PA",Philadelphia, PA,Bed Bath and Beyond,2020-12-11
43,"I placed an order online for a Christmas gift. When it arrived, it did not have what I ordered and when I look at the packing list, it was meant for someone else. The label on my box was correct but not what was inside, including who it should have been addressed to according to the packing list. In short, I received someone else's order in a box addressed to me. I called customer service and tried to explain what happened and he was not helpful at all. He said he would order a replacement and send me a label to print out and for me to call FedEx to return. Why should I be the one to call FedEx?? I then said I would like my money back instead and he would not refund my money. He said I had to go to a store and return the wrong item and get my refund BUT the email he sent to be given to a real person showed I was returning the items I did not receive!! I tried explaining this to him and he hung up on me. ",1,"Colorado Springs, CO",Colorado Springs, CO,Bed Bath and Beyond,2020-12-10
44,"It was simple gift that was confirmed would arrive on my wife's Birthday. I ordered on 27th of November, was notified it would be arriving on Dec. 2nd, when that didn't happen, I was notified it would arrive the 7th of Dec., today is the 8th of Dec. and nothing.",1,"Show Low, AZ",Show Low, AZ,Bed Bath and Beyond,2020-12-09
45,For over three weeks I have gotten the run around as to where my order is. It has been over a month since I ordered and paid for my item. And just a run around as to where it is. NEVER PURCHASE AN ITEM THAT HAS TO BE SHIPPED! Totally disappointed that they won’t even try to go out of their way. Done with this store!,1,"Franktown, CO",Franktown, CO,Bed Bath and Beyond,2020-12-05
46,I found their online webpage poorly set up and my address was missing my unit number so my shipment couldn’t be delivered. I called Bed Bath and Beyond to have it fixed and was told since it’s been longer than 30 minutes they cannot do anything for me. They were very unhelpful and gave me no direction on where my shipment will go and what to do next. I spent the next couple of days trying to get information on where my shipment was and a tracking number. I still haven’t received my order and not sure what to do next. I really like Bed Bath and Beyond’s products but their online customer service is terrible and because of it I will probably be shopping elsewhere from now on.,1,"London, ON",London, ON,Bed Bath and Beyond,2020-12-04
47,"My dad had ordered me a Raiders dart board for early Christmas present. When I opened the box the only items was in was the cabinet darts, and dartboard. I have emailed them. Also chatted with them online. After multiple times of back and forth and still nothing happened for me to get my other 80% of my order. Then they expect me to return the product with original box. If I have not opened the box I would of never known they didn't put all parts in. They even put in my case for shipping all my missing parts. Now I am so mad they claim they do not have any of my missing parts. Faults advertisement. For stating on their website of everything from board, cabinet, darts, mounting kit, chalk and eraser. As I turn in this review they still advertising the same product now for a higher price. I will tell everyone I know not to shop in-store or on-line for this company.",1,"Las Vegas, NV",Las Vegas, NV,Bed Bath and Beyond,2020-11-27
48,"Of course I liked what they looked like online, that's why I bought the Memories Lodge Shower Curtain Rings however, two of them had broken legs on the moose. It's sad that you get excited to get stuff that you buy and then you get them delivered to you at your door and it's broken and I'm not going to try to get some more because those will probably be broken too so I'm stuck with $17 broken shower rings and I'm not going to return them for a refund because of all the multiple reviews of poor customer service and people complaining of never getting their money refunded and life is hard the way it is with everything else going on and then to add this stress which could be completely avoided by Bed Bath & Beyond.",1,"Staples, MN",Staples, MN,Bed Bath and Beyond,2020-11-18
49,"SECURITY ISSUE. Bed Bath and Beyond allows anyone, including those you don’t know, to use your account. Someone has placed an order using my account. I don’t know how she got the information. I don’t know how she paid, perhaps she used my credit information. I now have her name and address and I am sure she has mine. Bed Bath and Beyond doesn’t seem to care that they are giving my information to strangers on an account I paid for!!!! Beware! You are sharing your information with strangers when you shop here.",1,"Apopka, FL",Apopka, FL,Bed Bath and Beyond,2020-11-17
50,"I had several issues when visiting the store in Collierville, TN on 10/19/20 with no resolution. When I arrived at the store and enter, I was not greeted by anyone when walking in. Also, my breath was taken away in a bad way due to the over perfume smell walking in the door. I gagged in my face mask. Nonetheless, I needed the item I came in for. Before I get around the corner of the odd lay out of the store, there was a woman not wearing a face mask. There is a mandate in Shelby county that states businesses must require customers to wear facemask. Which shows that this company does not follow county mandates. When walking around the store there were several pairs of employees just standing around chatting, and I seen the employees look at this customer not wearing a mask, but did not say anything to her. ",1,"Chicago, IL",Chicago, IL,Bed Bath and Beyond,2020-11-12
51,"Simple question, no answer after 50 mins… I had a gift card that was available to use at multiple stores, one being Bed Bath and Beyond. I found some lamps I wanted but they weren't available in my local store. I decided to place an order online. The total after tax and shipping was $29.23, however the gift card was only worth 25.00. I reached out via chat customer service to ask if there was a way to use two forms of payment. I repeated my request multiple times. The representative finally told me he couldn't assist and to call customer service. ",1,"Atlanta, GA",Atlanta, GA,Bed Bath and Beyond,2020-11-11
52,Ordered a rug online. Was available in 2 colors. Of course they sent the wrong color even though we ordered right color. Had confirmation. Had to jump through hoops to return. Finally brought into local store. Customer service told me they’d send new one immediately and will send email confirmation. Never happened. Called again and was told that they will send and we will get an email confirmation (deja vu!). Never happened!! BB&B is trash. They’ve gone down hill! Take business elsewhere!!,1,"San Antonio, TX",San Antonio, TX,Bed Bath and Beyond,2020-11-09
53,"I have been waiting for the last item in my order to arrive since October 16th. The tracking number they provide which should be FedEx, isn't after I verified in person with a FedEx agent. They didn't know what type of tracking number that was from Bed Bath and Beyond. I have received no help from Bed Bath and Beyond online, on the phone or in store. I will definitely be canceling my yearly membership fee of $29.00 and never order online again if this issue isn't resolved soon.",1,"Cape Coral, FL",Cape Coral, FL,Bed Bath and Beyond,2020-11-06
54,"Bought 4 pillows at $72 each and a comforter set. Everything is getting returned tomorrow. All items have strong perfumey scent - which I smelled the strong scent of the store when I walked in. Also has a musk undertone. Wonder if they were trying to cover up an old stale store smell with scent? Made me wheeze, and started an asthma attack. Had to open up my rescue inhaler, which I hadn't needed in almost a year.",1,"Glendale, AZ",Glendale, AZ,Bed Bath and Beyond,2020-11-02
55,"10-2-20 went to store to buy 2 tension rods for curtains, they only had 1 in the store, so the sales associate said she could order them for me. The estimated delivery date was 10-03-20. I called the store on 10-20-20 & asked if there was something wrong with the order, I spoke with Jennifer (who was very nice). She checked the order & said it had been here since 10-13-20, she said she couldn't understand why it was just in limbo. I told her I already found the items I needed, she explained it was too late to cancel my order, but when I received them I could just bring them to the store & they would refund my card. I finally received the order on 10-23-20. ",1,"Bellevue, NE",Bellevue, NE,Bed Bath and Beyond,2020-10-26
56,"I bought a food processor online, when it arrived it was missing the bowl for it. I called customer service twice. The first time was on hold for an hour and the second time was on hold for 2 hours. They said a new bowl would ship, it’s been 3 months and no bowl. So frustrated I’ve had to call twice, it’s a waste of my time. Every time they say they are sending a message to the warehouse to send a replacement bowl. I’ve been a long time customer... but won’t be anymore due to this situation.",1,"Solana Beach, CA",Solana Beach, CA,Bed Bath and Beyond,2020-10-21
57,"I ordered a food mill and silicone cupcake liners online that was to be delivered by 10/13. It came.... But it was completely not what I ordered. I received an egg slicer and apple slicer. I contacted BBB and they said they would process a replacement and a return slip. Seemed pretty standard. BUT... the replacement order # they sent doesn't exist and has not shipped. I have tried repeatedly to get a response via email and phone. Nothing. Wish I had seen some of these reviews before I ordered. BB&B going out of business? No kidding, Sherlock. In this age of online business due to Covid they are failing!",1,"Wilmore, KY",Wilmore, KY,Bed Bath and Beyond,2020-10-19
58,"Well, I am so disappointed, to say the least. I ordered 18 boxes of Calgon bath beads in May 2020... and here it is October 2020 and it still has not arrived! FOUR times they have shipped it and the only message I receive is ""Your order could not be delivered."" When I dug into this with the first delivery, it appears that the order arrived damaged at our local FedEx and they returned it back to BBB rather than deliver it. This has been repeated for a total of four deliveries, and each time it arrives damaged at FedEx and is then returned back to BBB. I called my local store and they couldn't resolve the issue and have it shipped direct to the store, so they gave up, as well. So... five months later I have been charged for this purchase but nothing has ever arrived!! It also must be costing them a fortune to continue to ship this to FedEx, but not to me!",1,"Hallowell, ME",Hallowell, ME,Bed Bath and Beyond,2020-10-14
59,"There is no one star? Wow. I ordered something and got the wrong color. Then I got on the phone and it took 1 hour then, they said they will ship me the correct color and guess what? The second I got off the phone they got me the WRONG COLOR! This will now cause me another hour. I am never going to shop there again. But the worst part, now I have to wait on the phone while taking care of a sick child.",1,"Los Angeles, CA",Los Angeles, CA,Bed Bath and Beyond,2020-10-13
60,After waiting 1 hour to talk to customer service finally someone talk to me. I told them they sent my product to the wrong address. They said they gone give me refund never happened. Second attempt same wow. I asked to talk to the manager they said she is gone call me back she never did. Their customer service email says they don’t keep eye on this emails. Then they wondering why they don’t have business. Very sad. No stars but they don’t have that option.,1,"Anaheim, CA",Anaheim, CA,Bed Bath and Beyond,2020-10-12
61,I ordered 2 queen beauty rest mattresses from Bed Bath & Beyond 9/52020 with a delivery by 9/17/2020. It’s now 10/8/2020 and the mattresses have not been shipped and Bed Bath will do nothing. They refuse to issue a credit and say there’s nothing they can do. I have children sleeping on the floor and Bed Bath could care less. I have spoke to customer service on hold for hours to be told they have no idea when the mattresses will arrive and they will not cancel the order and issue a credit. For a company that says they will take care of the customer it’s a lie. Beware. Once they have your money they will not care about helping you. Several stores sell what they do. Shop somewhere that actually wants customers.,1,"Phoenix, AZ",Phoenix, AZ,Bed Bath and Beyond,2020-10-09
62,"I purchased a vacuum sealer from them and at the time of purchase they stated they could deliver it on Oct 4, but a couple days later they changed it to Oct 6 and now the 8th. I only bought it through them because of the original delivery date because I needed it by then. They tell you that you can get it in a couple of days to get you to buy it but then change the delivery date after the allowed cancellation is up. I will stick to Amazon prime from now on.",1,"Roseville, CA",Roseville, CA,Bed Bath and Beyond,2020-10-05
