,Review,Stars,Dt,City/St,City,State
10,- In store don't care online customer.,1," Aug. 30, 2021","Arlington, VA",Arlington, VA
11,"I purchased over $200 of merchandise from Target, $75 on a Store Merchandise Card and the balance on my credit card. I ended up not needing $90 of it, so I returned it. They put $75 back in Store Merchandise Credit and $15 on my credit card! WHY? I spent $125 on my credit card, so ALL of the $90 should go back on my credit card. I spent more than enough to ""eat up"" my store credit. WHY??? You are controlling your customer by FORCING them come back into your store. I covered my $75 and put MORE on MY credit card, so do the credit the CORRECT way. UGH - totally NOT customer friendly!",1," July 18, 2021","Collegeville, PA",Collegeville, PA
12,"I placed an online order on 06-23-21, with a promo of 2 day shipping. After my order was placed, the estimated delivery date was 07-29-21. That does not seem like 2 day shipping. I called Customer Service on 06-28-21 to see if I could get my order shipped quicker, and was told that the request was sent, and I would receive an e-mail with an update if my request was approved. No e-mail sent. On 07-01-21 I called again to Customer Service to Cancel my order entirely and was told I could not cancel my order because it was not processed yet. What a Line of Bull. Wouldn't it make more sense to cancel my order before it is process to ship? I was told that when I receive a message that my order has shipped, then I could cancel my order. This is a backwards policy. It cost the company money for labor and material to process an order and get it shipped, when it doesn't cost anything to just cancel the order. My name is Lisa ** and I approve this message.",1," July 1, 2021","Ponchatoula, LA",Ponchatoula, LA
13,"As someone who designed Targets, I can promise they care as little about the customers as humanly possible. They purposefully design their stores so you get lost, have hard times locating what you want, and force you to spend as much time as possible in the store. This leads into the reason I will never shop at a single Target again in my lifetime. Upon needing to have a new bank card issued, I went to Target and wrote a check, to which it was declined even though there was enough money in the account to cover the purchase 100's of times over. Why was it declined? Well, because in order to write a check to Target, you must first have a good history of writing good checks. ",1," June 23, 2021","Minneapolis, MN",Minneapolis, MN
14,Don’t order from target.com. They pack your item so tight that it gets damaged. Then it is out of stock at all your local stores. This all could be avoided if they just knew how to properly package a item. Will never use target.com again.,1," June 12, 2021","Shiloh, OH",Shiloh, OH
15,"Target is the prime example of corporate America. You would think all of their items are made of gold, diamonds and silk by the way they price their items. More people will almost always pick Walmart over target due to the fact that Target is a uppity type of place to be in and it's uncomfortable as a minority to even walk through those doors like we don't belong there unless we work there for a regular paycheck. I'd rather shop at Dollar General if Target was the last option for a major supermarket.",1," May 10, 2021","Youngstown, OH",Youngstown, OH
16,I would give them a zero star review if I could. I ordered items at the drive up and when I got there I realized I had no room in my trunk for the items so I asked the rep if they can kindly put it in the front seat since there was no room in the back. The rep got very agitated. Opened the door. Put the items in and slammed the door shut and stormed off. Extremely uncalled for and very rude. I will go out of my way not to go to Target in the future. I used to be an avid Target shopper. A real shame.,1," April 26, 2021","Lakewood, NJ",Lakewood, NJ
17,"The Target in St. John, Indiana is not consistent on enforcing their mask policy. I've have seen so many people with either no mask or a mask on their chin. No one says anything to them and they are left alone to shop. My husband went to visit the store to grab milk and was asked to leave if he didn't wear a mask. He has no problem wearing a mask, but was very surprised they asked him to leave. He even called me and said, ""I thought you said the mask mandate is not followed here at this store, that no one is wearing them."" I told him that's true. I visit that store twice a week and wish I took pictures of the amount of people not wearing a mask, mostly women. I've only seen one man with no mask. I guess women are allowed to shop at Target with NO MASK, but men are required to wear a mask to shop. What's up with the discrimination at this location?",1," April 8, 2021","Dyer, IN",Dyer, IN
18,"As soon as I went into the Target Store I was stopped by a security team member who stated “because my dog was not old enough it could not be in the store.” I stated my dog was for service to me for several reasons. I was then asked by this employee did I know that it takes a year for an animal to be trained to be a service animal! I was not asked how old my animal was. I was not asked if this was a documented service animal. My dog is harnessed, collared and leashed. I asked guest services for a copy of this policy. I did not break any policy and upon getting a printout copy I decided not to buy the items in my cart. I am not sure if I will shop at Target ever again.",1," March 9, 2021","Bloomington, IN",Bloomington, IN
19,I purchased an electronic kitchen appliance. I drove 100 miles round trip. Upon returning home and opening the box I realized that it was missing a piece. I contacted Target to see what they could do for me and their only solution was for me to drive another 100 miles to trade it! My first and last shopping trip to Target!,1," March 6, 2021","Hyrum, UT",Hyrum, UT
20,"It became well known to me at the conclusion of an ""entice hackers to catch identity thieves"" scam that Target gift cards were a popular method to scam consumers. The asset manager, who had finally asked me if I was being scammed, to whom I had replied ""I don't think so!"" was finally able to get through my trance, for lack of a better word. For one hour and fifteen minutes I entered and exited the store and was witnessed by the same clerk near the same self-checkout counters purchasing up to ten gift cards separately. Shortly after the conclusion of a terrifying four-hour experience, we were present at the Target store with a deputy sheriff. That same asset manager provided 21 copies of receipts for $500 gift cards. ",1," Jan. 27, 2021","Marshall, WI",Marshall, WI
21,"I purchased 2 Apple Watches Series 6 from the Target website and when the package arrived one item was correct and one was incorrect (Series 3 Apple Watch). I understand that the warehouse gets the orders wrong and I was understanding of this issue. I went in to the North Hills Target Store in Raleigh, North Carolina to return the items but the team leader - Cleo was very rude to me. First visit, he refused to refund the items as it “was going to mess the store inventory up.” Like I give a **! He told me to contact customer service.",1," Jan. 17, 2021","Raleigh, NC",Raleigh, NC
22,"I have purchased multiple gift cards from Target.com using my Target REDcard with no issues. However, that has changed. I recently ordered some gift cards. The order initially processed and then I received an email indicating the order did not process but gave no specific reason. I called Target REDcard and was referred to Target.com who was told me a glitch occurred and it will be corrected and try again later. When I tried again the same issue occurred. I called back and was told the the orders were cancelled and that they would clear out overnight. Target.com shows that the orders were cancelled; however, Target REDcard still have the orders pending. I currently cannot use my card and calling Target REDcard no service has been a waste of time. I asked for a supervisor and that request was rejected. It has been over a week and the issue remains unresolved.",1," Jan. 13, 2021","Eatonton, GA",Eatonton, GA
23,"TERRIBLE CUSTOMER SERVICE!!! I bought a night stand from there. While building it I noticed 2 cracked load bearing boards, which I glued and clamped and all the holes needed drilled out because they were not deep enough and would have cracked the boards installing the screws. There was also a repair that had been done to the front face using putty and sand paper, but wasn't re-stained so I had to touch that up. I also had to put in supports on the bottom shelf because there was none per design and would have sagged as soon as I put weight on it.",1," Jan. 12, 2021","Georgetown, PA",Georgetown, PA
24,"I wouldn’t have believed a Target could have such bad customer service, if I’d not experienced it or witnessed it myself. On CHRISTMAS EVE (advertised closing 8pm), announcements blared overhead every 5-10 minutes from the time I walked in shortly before 7pm, stating everyone needed to be IN LINE by 7:30pm so that all customers were out by 8pm closing. As 7:30pm approached, the announcement changed stating the line would be cut off and if you weren’t in line you’d have to come back on Saturday, Dec 26th. Never in my 52 years have I ever heard of such a thing occurring in retail, but financial circumstances had me shopping on Christmas Eve for the 1st time ever, and I wasn’t taking any chance of being told I couldn’t purchase gifts for my grandson.",1," Dec. 30, 2020","Culpeper, VA",Culpeper, VA
25,"I ordered my gift cards online because of the delivery date. These cards were to be delivered on 12/9 which was ok but I have to mail these cards out so I didn't have much room for delay. Today is 12/12 and my cards have still not been delivered. Now I am being told that they are scheduled for delivery today (although the tracking says the number is invalid!) by supervisor Logan, at Target gift cards. As I suspected the cards were not delivered today is 12/13 and they should have been here on 12/9 and of course now the tracking number is no good, Target only tells you after you call and complain that the cards will now take 7 business days. The customer service people refuse to understand that these were gifts to be mailed elsewhere.",1," Dec. 13, 2020","Lenoir, NC",Lenoir, NC
26,"This morning at 7:35am I went to ""drive up"" my pick up order at **, TN. that contained 2 items. When I arrived at 7:35am, I let them know that I was there per their app instructions. I was the only car there & when 7:50am came and my order still has not been delivered I called guest services. After waiting for guest service to answer the phone for a minute, I advised the rude nameless associate that I had been waiting 15 minutes for my order. She rudely told me that the drive up lady was on her way out. I told her that I did not see her yet, & she repeated herself rudely. I asked to speak to a manager & she told me he was busy. I told her that he could not be too busy to speak to a customer. Once again she said he was, & I said I would wait. So she asked me my name & placed the phone down so I could wait. ",1," Dec. 3, 2020","Chicago, IL",Chicago, IL
27,"Buyers Beware of Target's Electronics Dept and 3rd party Market Source Inc mobile dept in Target, employees cannot be trusted with your personal info while they are setting up your new or used mobile phone. They will hack your phone, steal from your info and do idenity theft on you and the store managers and corporate will tell lies on you and back her untrustworthy employees up for committing crimes against customers. That's how they really make their money doing identity theft on customers. ",1," Nov. 22, 2020","Uniontown, PA",Uniontown, PA
28,"Due to the Covid-19 outbreak my husband and I decided to use online shipping for Christmas this year. Yesterday we received a gift we had ordered for our grandson, the Target box it was shipped in was in perfect shape with the target tape across it. When we opened the box the Fortnite Deluxe Bus box was crunched, ripped, and opened. Clearly the person putting in the box knew this and shipped it anyway. Returned it to Target to find out they are out of stock at every store within 150 miles and online. ",1," Nov. 20, 2020","Burlington, IA",Burlington, IA
29,"Purchased a 70"" TV only to find out that the TV in my box was not the one I purchased. Apparently, someone in Target's supply chain (Wisconsin) swapped out with an old/non-working TV and stole the good one along with all the accessories (legs, manual, remote, etc). The TV cost me close to $900 and I paid an additional $85 for the 3 year warranty.",1," Nov. 13, 2020","Madison, WI",Madison, WI
30,"I received some (2 FREE coupons Up to $5.00 each from Kellogg's) to replace some Pop-tarts that I purchased. I went to Target to get my FREE product. I purchased my things. I give the girl my coupon, 2/$7. Cereal was one of the items I purchased. So I gave the girl my coupons and use my $5.00 free coupon I gave her ..She said, ""We don't take these here."" I said they are from the manufacturer. They aren't printed, I got them from Kellogg's in the mail. She tried it again and said, ""We don't take these."" I would have gone to customer service but the lines were long and also people behind me..So I gave her back the cereal. With using the $5.00 off coupon I would have only paid $2.00. That wasn't going to happen/So why if Target won't take those coupons and they sell the merchandise in the store. So I'd like to know what's up with that.",1," Oct. 19, 2020","Bakersfield, CA",Bakersfield, CA
31,"Not the first time with them. Stores are good, shipping is horrendous. Don’t use this part of their service, it never goes right.",1," Oct. 1, 2020","Granada Hills, CA",Granada Hills, CA
32,First off I would like to say that I have been a BIG supporter of Target for 20 years and have always supported them over Walmart. In fact I have never stepped into a Walmart over the last 20 years. With that said this will be the end of my relationship with the Target corporation after the way I was treated. I placed an online order today for some Apple goods and they were cancelled because I used a gift card. I called and they apologized and said it was their mistake and they would get the order replaced. Well after being on hold and transferred to multiple people and finally ending up with a supervisor named “Jose” after multiple hours he said there was nothing he or anyone could do to get the order replaced even though he admitted it was their mistake. ,1," Aug. 19, 2020","Sherman, TX",Sherman, TX
33,I attempted to shop in Target on Wade Hampton Blvd. in Greer SC. Many of the employees had a mask that covered their mouth only. About a third of the customers had no mask and no one requested that masks should be worn. There was NO clear sign of reasonable dimension (or I could not find it) that stated that masks are required. With the huge number of new COVID 19 cases in town I expect the local management to clearly support the announced policy by Target Corporation.,1," Aug. 1, 2020","Greer, SC",Greer, SC
34,I visited the Target location at 4000 Monument Road to return a gift my son received for his birthday Sat. His grandma purchased him a car seat however it wasn’t safety equipped so I was returning the chair to get a more secure one. I was told they didn’t know why I couldn’t return without a receipt. I explained that it was gift and a gift receipt wasn’t provided. The cashier then told me “she didn’t know why I wasn’t able to return without a receipt.” I called customer services and was advised that the item could be return however I would have to get someone else to do it.,1," July 28, 2020","Philadelphia, PA",Philadelphia, PA
35,"I went to purchase a number of items for my son's birthday. Found most of what I was looking for. As I was leaving to finalize my purchase, I waited patiently in line..following social distancing guidelines. A very nice security officer told me to wait a minute while the girl on duty at the self checkout lane wipes down the kiosk used by the previous person in line. The girl in question, looked me in my face with a look of disdain and refused to wipe down my kiosk. Instead, she wiped down another kiosk for the ** woman behind me. I said absolutely NOTHING to her. But, I DID pointedly stare at her as I was leaving. Whereupon, she turned her body so I could not read her name tag. I plan on making a point of THIS incident on social media and will actively call for a nationwide boycott of ALL Target stores.",1," July 18, 2020","Saint Petersburg, FL",Saint Petersburg, FL
36,"I placed a delivery order on July 12 at around 450pm. I had the option to select a delivery time between 6-7 pm.. Fast I thought. I forgot a few items so I went ahead and added them to the email confirmation I had received. I called Target at 5:01 to make sure my order was updated. The man said, ""Yes I see them both."" I received part of my order at 7:59 so at 8:30 I called 612-815-6755 to inquiry about the rest of my order the young lady called the warehouse and they told her, That they had sent me a text and I Didn't respond (LIES) so my order was never processed. Why are you Lying!! Why is part of my order (5 items in my house). I liked target. But Because they lied I will definitely go elsewhere for my groceries. So many other options out there!! Beware of the lies,",1," July 13, 2020","Manassas, VA",Manassas, VA
37,"A few days ago I visited the Target store in the Holyoke mall located in Holyoke Massachusetts. While shopping I came across an item that was priced at 0.00. In our state we have a price accuracy law. This means that if a price at the time of purchase isn't accurate to the price advertised, then if it's under 10 dollars, it's free and if it's over, you take off the 10 and charge the difference. The 2 employees assisting me would not at all follow this law even after mentioning that I was well aware of them having to follow our state law. This is the time when a security guard stood closer as to intimidate the situation until I stopped ""fighting for my rights."" 2 different price tags on the item was priced at 0.00. 15 dollars is what they told me it was going to stay at so I could either buy it for that price or not at all and that it wasn't up to them to uphold any law so I could call the cops if it was such a law and bring them to court for it. ",1," May 25, 2020","Springfield, MA",Springfield, MA
38,"I purchased 3 items at Westminster Mall, Westminster, CA store. Blonde cashier offered overflow cashier checking out for less than 5 items. I placed my 3 items on her table. She rudely told me I needed to turn over items so she could scan. She was wearing gloves and face mask. I asked why I needed to handle the items she was scanning. She responded I should've known I had to turn items over for her. Nothing was posted anywhere in store that I could see requiring I handle items once items in front of cashier. Needless to say, cashier used rude and unprofessional tone when she told me to turn items over. Then when said I was going to complain, she said ""Good Luck."" Never again will I shop at this store.",1," May 20, 2020","Huntington Beach, CA",Huntington Beach, CA
39,"On 4/9/2020 I purchased a Snoopy Snow Cone Machine from Target. It was an Easter gift for my 7 & 2 ½ year old grand daughters. They were so excited to get it. The 7 year old had been missing her weekly after school stop at the local snow cone stand since the Covid-19 pandemic had us quarantined. I got everything all out of the box and set up per instructions. The girls were at the counter wide-eyed and ready to make some snow cones. I get everything all set up and mounted, only to open the drink mix to a very gross, clumpy dark red substance that I was not for a second going to pass on to them. So, ok maybe it was some old stock so, I threw it away and moved on. Got out one of their drinks to flavor the ice with and started shaving. It is not very well made and the turning took some effort, but I was willing to do what it was to take to get my grand daughters their snow cones! And for the price I certainly wasn’t expecting anything fancy.",1," May 4, 2020","Walls, MS",Walls, MS
40,"Target is the prime example of corporate America. You would think all of their items are made of gold, diamonds and silk by the way they price their items. More people will almost always pick Walmart over target due to the fact that Target is a uppity type of place to be in and it's uncomfortable as a minority to even walk through those doors like we don't belong there unless we work there for a regular paycheck. I'd rather shop at Dollar General if Target was the last option for a major supermarket.",1," May 10, 2021","Youngstown, OH",Youngstown, OH
41,"Local store consistently is ""out of stock"" on many items, including sale items. I no longer shop Target very often, as I waste too much time looking for what they don't have, both online and in the store.",1," May 9, 2021","Hollywood, MD",Hollywood, MD
42,"Usually has the items I need. Produce is usually very good but has been scarce. Store is always clean and orderly and the help is almost always friendly and helpful. Although, on occasion, they have been surly and condescending. But, through the years they have been helpful and well-stocked. They were very kind and did their best to service customers during the first confusing weeks and months of the COVID-19 nightmare.",1," May 9, 2021","Granada Hills, CA",Granada Hills, CA
43,Appreciate the layout of all the stores with nice wide aisles. Items are easy to find. We just bought a ** phone there and The Tech Guy in electronics was phenomenal. All the clerks are very friendly and more than willing to help you. They all seem to know where a specific item is if you are looking for it.,1," May 8, 2021","Hilliard, Ohio",Hilliard, Ohio
44,"So I happened to have a Target gift card and was going in specifically for a tie, a belt, and a few plain white button down shirts. The tie was perfect, so no issues there. As for the belts, they were exceedingly limited in the styles and brands that I was expecting. And I know it is Target, a department store so I didn't go in with super high expectations, but seriously there were maybe MAYBE 10 different belts. Also none of them were styled for business casual/professional, they were just work belts. On top of that they literally had no plain white button down shirts. At all! They had the fashionable (or what they consider fashionable) but no neutral, plain, ordinary white button downs. Sorry about that rant, but I expect that kind of thing from Walmart, not Target.",1," May 8, 2021","Charlotte, NC",Charlotte, NC
45,"The store was clean, very well organized, items were easy to locate, and there were plenty of stores workers available to answer questions. I was easily able to find the item I was looking for. Also, the restrooms were clean. Plus, they had a Starbucks!",1," May 7, 2021","Helotes, TX",Helotes, TX
46,"Well organized and good availability of most items required by a household. One stop shop. They can improve quality and variety of fresh produce. Pharmacy service is very good. Some items are more expensive than other stores such as Kroger or HEB. Assistance from associates is easy to obtain. During the current pandemic, implemented all safety precautions but some associates were spotted without masks.",1," May 7, 2021","Richmond, TX",Richmond, TX
47,"On the Target app it will show that a particular product is in stock. I have gone there 3 times and when I look and ask, they tell me it’s not in stock and the inventory number is wrong. I have even asked them to check the back and they still will come back and say that it is not there.",1," May 6, 2021","Saint Peters, MO",Saint Peters, MO
48,"We use Target for most of our weekly grocery shopping. The prices are good and you get 5% off using the Redcard, which is basically a debit card. There's also a handy app, so you don't need to carry the card with you. Sometimes they have inventory problems, but I give them a break, since we're in the middle of a pandemic. Overall, a great store.",1," May 6, 2021","San Diego, CA",San Diego, CA
49,"Recently went to find seasonal patio furniture, gazebos, outdoor rugs and decor and was very disappointed. Very little of anything on display or available. It almost appeared as though I had just arrived after a giveaway and this was mid April in upstate NY. Hardly anything to purchase, bare shelves and very few options of furniture sets or even individual seating options or outdoor decor. Definitely disappointed. Also browsed women’s plus size clothing department. Waste of time as they have never have much inventory. Definitely not the place to shop for clothing if your plus sized.",1," May 5, 2021","Rochester, NY",Rochester, NY
50,"My visit is always amazing when I go into Target. There’s a older lady name Ann who greets me with a smile each time I see her. Her presence is overwhelming and pleasant. She can direct you to whatever it is that you need to wherever you need to go. It’s just seeing her smile captivates me every time. Besides customer service is awesome, the cashiers serve you with a smile and whatever you’re looking for you can find it. If you can’t find it the store associates will make sure to see if they have anything in stock. Just the atmosphere itself and going into target is different from going to see any other place. As a avid shopper at target I will continue to do my shopping and will continue to recommend it. The best store ever!!! Target is our family meet up store!!",1," May 5, 2021","Saint Louis, MO",Saint Louis, MO
51,"Most of the Targets I visit are very well maintained (clean, organized, well-staffed.) It's very easy to find things throughout the store, I feel like the selection is very broad and varied, and I enjoy shopping at Target. The in-house up & up brand is often very competitively priced and I've never had any issues buying generic. A lot of the clothes are cute, too, and I always find myself discovering a new cleaning or cooking product that becomes indispensable. My only hesitation is that I am aware that Target shows their employees a lot of anti-union content to discourage the retail employees from unionizing and I don't really like that and I have discomfort about spending money with an union-busting retailer.",1," May 4, 2021","Chicago, Illinois",Chicago, Illinois
52,"Of all the big box stores Target maintains good quality, great prices. My teen granddaughter loves Target for clothing, skincare and make-up. Fashion very up to date. First store we go to for gifts.",1," May 4, 2021","North Ridgeville, OH",North Ridgeville, OH
53,I would give them a zero star review if I could. I ordered items at the drive up and when I got there I realized I had no room in my trunk for the items so I asked the rep if they can kindly put it in the front seat since there was no room in the back. The rep got very agitated. Opened the door. Put the items in and slammed the door shut and stormed off. Extremely uncalled for and very rude. I will go out of my way not to go to Target in the future. I used to be an avid Target shopper. A real shame.,1," April 26, 2021","Lakewood, NJ",Lakewood, NJ
54,"The Target in St. John, Indiana is not consistent on enforcing their mask policy. I've have seen so many people with either no mask or a mask on their chin. No one says anything to them and they are left alone to shop. My husband went to visit the store to grab milk and was asked to leave if he didn't wear a mask. He has no problem wearing a mask, but was very surprised they asked him to leave. He even called me and said, ""I thought you said the mask mandate is not followed here at this store, that no one is wearing them."" I told him that's true. I visit that store twice a week and wish I took pictures of the amount of people not wearing a mask, mostly women. I've only seen one man with no mask. I guess women are allowed to shop at Target with NO MASK, but men are required to wear a mask to shop. What's up with the discrimination at this location?",1," April 8, 2021","Dyer, IN",Dyer, IN
55,"Buyer beware of Target.com - I recently made a purchase on Target.com - wherein I had to navigate through pop up boxes which tried to sell me a ""protection plan"" for the item I bought. Which was a simple $40 desk lamp. The pop up is automatically set to ""yes, protect me"" - you can't click the X - as I thought as I was charged for the plan. In the Order Detail on my account, it said it's non-refundable. It took a phone call and a nice customer service person to refund me the money charged for the plan. Which is why I give Target.com 3 stars vs. 1. Someone in their Marketing Department needs to be fired for conducting business this way. Are your finances in that much peril Target?",1," April 4, 2021","West Bend, WI",West Bend, WI
56,"As soon as I went into the Target Store I was stopped by a security team member who stated “because my dog was not old enough it could not be in the store.” I stated my dog was for service to me for several reasons. I was then asked by this employee did I know that it takes a year for an animal to be trained to be a service animal! I was not asked how old my animal was. I was not asked if this was a documented service animal. My dog is harnessed, collared and leashed. I asked guest services for a copy of this policy. I did not break any policy and upon getting a printout copy I decided not to buy the items in my cart. I am not sure if I will shop at Target ever again.",1," March 9, 2021","Bloomington, IN",Bloomington, IN
57,I purchased an electronic kitchen appliance. I drove 100 miles round trip. Upon returning home and opening the box I realized that it was missing a piece. I contacted Target to see what they could do for me and their only solution was for me to drive another 100 miles to trade it! My first and last shopping trip to Target!,1," March 6, 2021","Hyrum, UT",Hyrum, UT
58,"It became well known to me at the conclusion of an ""entice hackers to catch identity thieves"" scam that Target gift cards were a popular method to scam consumers. The asset manager, who had finally asked me if I was being scammed, to whom I had replied ""I don't think so!"" was finally able to get through my trance, for lack of a better word. For one hour and fifteen minutes I entered and exited the store and was witnessed by the same clerk near the same self-checkout counters purchasing up to ten gift cards separately. Shortly after the conclusion of a terrifying four-hour experience, we were present at the Target store with a deputy sheriff. That same asset manager provided 21 copies of receipts for $500 gift cards. ",1," Jan. 27, 2021","Marshall, WI",Marshall, WI
59,"I purchased 2 Apple Watches Series 6 from the Target website and when the package arrived one item was correct and one was incorrect (Series 3 Apple Watch). I understand that the warehouse gets the orders wrong and I was understanding of this issue. I went in to the North Hills Target Store in Raleigh, North Carolina to return the items but the team leader - Cleo was very rude to me. First visit, he refused to refund the items as it “was going to mess the store inventory up.” Like I give a **! He told me to contact customer service.",1," Jan. 17, 2021","Raleigh, NC",Raleigh, NC
60,"I have purchased multiple gift cards from Target.com using my Target REDcard with no issues. However, that has changed. I recently ordered some gift cards. The order initially processed and then I received an email indicating the order did not process but gave no specific reason. I called Target REDcard and was referred to Target.com who was told me a glitch occurred and it will be corrected and try again later. When I tried again the same issue occurred. I called back and was told the the orders were cancelled and that they would clear out overnight. Target.com shows that the orders were cancelled; however, Target REDcard still have the orders pending. I currently cannot use my card and calling Target REDcard no service has been a waste of time. I asked for a supervisor and that request was rejected. It has been over a week and the issue remains unresolved.",1," Jan. 13, 2021","Eatonton, GA",Eatonton, GA
61,"TERRIBLE CUSTOMER SERVICE!!! I bought a night stand from there. While building it I noticed 2 cracked load bearing boards, which I glued and clamped and all the holes needed drilled out because they were not deep enough and would have cracked the boards installing the screws. There was also a repair that had been done to the front face using putty and sand paper, but wasn't re-stained so I had to touch that up. I also had to put in supports on the bottom shelf because there was none per design and would have sagged as soon as I put weight on it.",1," Jan. 12, 2021","Georgetown, PA",Georgetown, PA
62,"I wouldn’t have believed a Target could have such bad customer service, if I’d not experienced it or witnessed it myself. On CHRISTMAS EVE (advertised closing 8pm), announcements blared overhead every 5-10 minutes from the time I walked in shortly before 7pm, stating everyone needed to be IN LINE by 7:30pm so that all customers were out by 8pm closing. As 7:30pm approached, the announcement changed stating the line would be cut off and if you weren’t in line you’d have to come back on Saturday, Dec 26th. Never in my 52 years have I ever heard of such a thing occurring in retail, but financial circumstances had me shopping on Christmas Eve for the 1st time ever, and I wasn’t taking any chance of being told I couldn’t purchase gifts for my grandson.",1," Dec. 30, 2020","Culpeper, VA",Culpeper, VA
63,"I ordered my gift cards online because of the delivery date. These cards were to be delivered on 12/9 which was ok but I have to mail these cards out so I didn't have much room for delay. Today is 12/12 and my cards have still not been delivered. Now I am being told that they are scheduled for delivery today (although the tracking says the number is invalid!) by supervisor Logan, at Target gift cards. As I suspected the cards were not delivered today is 12/13 and they should have been here on 12/9 and of course now the tracking number is no good, Target only tells you after you call and complain that the cards will now take 7 business days. The customer service people refuse to understand that these were gifts to be mailed elsewhere.",1," Dec. 13, 2020","Lenoir, NC",Lenoir, NC
64,"I have been to a lot of grocery stores in my lifetime. I have Publix (too expensive), Walmart (hit and miss) and TARGET. Target is always clean and a lot of customer service around to help. I love that they have outside of the box items. And their own brand is excellent. I have never been sorry for shopping and getting an extra 5% off with a Red Card. I also have become friends with the pharmacy staff and they are the best around. I love the superstore grocery, I can get all my shopping needs done at one time. Always nice to try new products and if they don't sell fast they will move them out. Love Target brand of coffees, Peppermint and Double chocolate are my fav. I always feel safe at the store. My Target has an upstairs parking deck, which is great when raining. Yes, I would say I love my Target!!!",1," Dec. 4, 2020","Orlando, FL",Orlando, FL
