,Review,Stars,Dt,City/St,City,State,Retailer
15,"I made an online purchase of whiskey tumblers on the 20th Oct. On the 11th Nov I received an email from William Sonoma stating that the order was no longer in stock and I had been refunded for my purchase. Upon checking my Paypal/credit card notices there was NO REFUND. I contacted them via several emails, their online chat function, and several attempts to their customer service line which is a poor connection at best making it impossible to hear the customer service agent and I was also hung up on. On the 17th Nov my account was refunded in the amount of $16.95. Well short of my $100.75 full purchase amount. Again I contacted this company to try and retrieve my money to be told I needed to wait another 7-10 days before expecting a refund of the shortfall. Which I did and still no refund of the rest of my money.",1," Nov. 26, 2021","Bundoora, Other",Bundoora, Other,Williams Sonoma
16,"My wife and I ordered a Wusthof 26 piece knife set from the Plano Texas store on 10/23/2021. The expected delivery was 10/28/2021 to 10/29/2021. Very shortly after that the delivery went to 10/29/21 to 11/01/2021, then 11/03/21 to 11/04/21, then it keep moving out. Meanwhile my credit card keep getting refund and charged. For 2 weeks I spend on phone, chat and email with customer service with plenty of ""I sorry and we will fix."" Each time a new rep with a new reason for the delivery issue. ",1," Nov. 7, 2021","Dumas, TX",Dumas, TX,Williams Sonoma
17,"I purchased an outdoor furniture set for over $6,000. The cushions act like sponges, they are not waterproof nor water resistant and as a result are rarely usable. I have contacted the store manager, sent photos, sent a video and have contacted customer service three times. Today (the last time), I was put on hold for 45 minutes, no music, no check in, nothing- and then the line disconnected. I have now sent an email to customer service @ Williams Sonoma. This is unfortunate as I have been a customer for 20 years and I am assuming the company is affected by the labor shortage, that said - there should be a process to elevate issues as I have to spend another $2-3k to have cushions made or throw the set away.",1," Oct. 26, 2021","Rye Beach, NH",Rye Beach, NH,Williams Sonoma
18,I ordered a set of the Williams Sonoma Pantry dinner plates. They arrived and one of the plates was chipped. Didn't see the chip in the box so wondered if a chipped plate was packed in the box and no-one did quality control. I contacted customer service and asked that they replace the plate once I had returned the chipped one. They informed me I had to return the set of 8 plates and they would then send me a new set or I could keep the plates as is and get a small refund (worth less than the value of a plate). I decided to return the plates and get a full refund. They sent me a shipping label to return the plates and I taped it to the box and took the plates to the post office. ,1," Oct. 20, 2021","East Lahave, Other",East Lahave, Other,Williams Sonoma
19,"I ordered a set of 2 nonstick pans, a set of knives, and a coffee maker all at a really good price using my gift card. Returned the coffee maker and wait 2 more months for the other items just for them to be cancelled. It was cancelled due to a “payment issue” when my gift card went through perfectly fine with the coffee maker. I called the number in the cancelled email and they were no help. They couldn’t give me an answer as to why the order was cancelled. After 3 months I have nothing, but another damn gift card on the way back to me. I am never ordering online and don’t bother calling useless customer service.",1," Oct. 12, 2021","Wheaton, IL",Wheaton, IL,Williams Sonoma
20,"Purchased a serving bowl for $75 (shipping $11.99, tax $6.31). Total paid $93.30. Returned the bowl and got $68.43 back. What did the $24.87 pay for? It’s more than twice shipping and shouldn’t they return the sales tax if they didn’t sell anything? And why wasn’t the return cost spelled out clearly? Before or after the return? I had to find out from PayPal about the refund. Why no transparency from the company? This style of secret on the under refunding- can you imagine if they make money like this from everyone who returns something? Especially now during the pandemic when everyone is buying online.",1," Oct. 9, 2021","Lincoln, CA",Lincoln, CA,Williams Sonoma
21,"This is my second time dealing with the Williams-Sonoma PB Teen furniture delivery and they have one of the THE WORST customer service setup I have ever encountered. They are completely unapologetic for their mistakes, unaffected by the inconveniences they cause to your time and schedule, and they simply don't care to make your experience with dealing with them pleasant or even just courteous. Last time they had mistakenly sent my GC to someone else and it took them 6 months after a good 30+ hours on the phone with them over 20 phone calls to get them to give me the damn gift card that they had mistakenly sent to someone else. No apologies, no compensation for all the wasted time. Experiencing the same thing today with furniture. Wasted my time with confirmed scheduling of delivery which turned out to be a system glitch. Extremely frustrating.",1," Oct. 9, 2021","Dunn Loring, VA",Dunn Loring, VA,Williams Sonoma
22,Order myself a espresso machine to save time and money making coffee at home. I chose Williams-Sonoma because it offered fast shipping. Item came super used and broken! Called customer service and they sent a new one out that was suppose to arrive within 3 days. They then had me bring the giant used machine to UPS to be returned myself which was a big hassle because I am 21 weeks pregnant with a 12 month old who’s not walking yet. Still never got the new machine and have called 6 times now told each time that it would be arriving soon.,1," Oct. 1, 2021","Salem, OR",Salem, OR,Williams Sonoma
23,"My sister ordered my birthday present (kitchen towels) from Williams Sonoma for shipment to me in Austin. Instead, a pillow case from Pottery Barn Team arrived. Williams Sonoma requires me to return the pillow case, via UPS using their packing slip and deposited in a UPS box or drop off, before sending the towels to me. I don't have packing materials. Don't know where the UPS box or drop off are or any reason other than to return this random pillowcase to go to a Williams Sonoma storefront. Williams Sonoma requires me to return the pillowcase before sending me my birthday present. I told Williams Sonoma to keep the towels. This isn't worth my time and effort. I hope my sister is able to get a refund through her credit card company. This is been a frustrating experience and it's all about a birthday present. Sad.",1," Sept. 27, 2021","Austin, TX",Austin, TX,Williams Sonoma
24,"I placed an order back in Feb. of this year, after several I mean several calls I got one of the back orders in July, but my 2nd back order I have no updates nothing from the company as to where it is, so again I will need to call the company and chase down where it is, I will never online shop with this company again.",1," Sept. 17, 2021","Hemet, CA",Hemet, CA,Williams Sonoma
25,"I purchased several items from Williams-Sonoma for my new kitchen. 2 of 5 items are not of high quality and not worth even half their sales price. Purchased a walnut block with knife set that was listed for $650 on sale for $350. The ""walnut"" block was made of regular wood and topped with a plastic walnut stain. I tried to return it and they said no returns. Item is maybe worth $100. So I wrote a bad review and showed photos of the inside view of the block and they said they would not post my review! Purchased a ""cherry wood"" cutting board for over $100 and it arrived cracked and not as pictured (some very light red/pink stain on a piece of wood). Tried to return it and never got a response with a mailing label. Customer service has been terrible. I will not purchase from this company again.",1," Aug. 26, 2021","Jackson, MI",Jackson, MI,Williams Sonoma
26,I ordered an expensive scan pan in March on an online sale. I was told there would be a two month delay for it because it was on backorder. It’s now almost September and it still hasn’t arrived!!! Furious!!!,1," Aug. 23, 2021","Markham, Other",Markham, Other,Williams Sonoma
27,"The worst online store it’s a Williams-Sonoma!! I ordered Philips 5400 on July, the delivery was showing September 1-3. I checked the order status and someone canceled it without my permission. I called them, their customers service is hard to reach . And they weren’t sure who cancelled it. And they didn’t send me any email about that. So I ordered again on August 4, and delivery showed the beginning of September. Today is August 20 and I checked my tracking info, and they pushed delivery to November 29!!! I haven’t received any email about that and we will move out from current address on November. So it’s a waste of time!!! And I can’t reach them to cancel my order… They are absolute mess. Order **",1," Aug. 20, 2021","Hopkins, MN",Hopkins, MN,Williams Sonoma
29,"Fraudulent order + NO REFUND - 3 weeks later! I have been a WS customer since 1983, in person at many local stores, and by internet. The order at issue was fraudulently placed (IDTheft), and I called the very day it was placed. I was told it would NOT SHIP, but it did. FedEx intercepted and returned the package (I never saw it). I was told it would be refunded within 24-72 hours of their receipt of the product. THAT WAS 14 DAYS AGO.",1," Aug. 4, 2021","La Quinta, CA",La Quinta, CA,Williams Sonoma
30,"I ordered a Smeg Drip Coffee Maker, Pastel Blue Item #: 9082759 as a gift on November 30, 2021. 12/1/2020 I received confirmation that estimated delivery was Dec. 10, 2020. When the item was not delivered I checked my account and Est. Delivery was now the January 2021. I contacted Williams Sonoma to cancel the order as it was a Christmas gift and was told that it was not possible as it was coming from the vendor. I was told I would have to wait until I received the item and then I can return it to the company. When I told them that was not acceptable they did not offer any other resolution.  ",1," Aug. 3, 2021","Middletown, MD",Middletown, MD,Williams Sonoma
31,"It takes a lot for me to write a bad review. Usually I write good reviews, because I'm a happy guy and I want to share the love. That being said, I am not happy right now. I am no longer full of love, I am full of hate. I am a mixture of sorrow and abhorrence, and that is all your fault Williams-Sonoma. I ordered my 8 custom dining chairs on March 18 2021, it was a rainy day and pitter patter of the water on the windowsill was wonderful foreshadowing to the tears now dripping down my cheeks as I write this review.",1," July 23, 2021","Hialeah, FL",Hialeah, FL,Williams Sonoma
32,"Was accused by “Nika” of recording the phone call when she stated “your order may come in tomorrow” when it was picked up by UPS 2 days after the email showing “shipping date” on 3 days shipping. After asking what could be done, she said “if you had a special situation I could waive shipping”. Not very helpful at all. She was courteous on the call, but she would speak in “what if’s” and I felt accused as a customer to request “facts” on when I could request a formal refund on shipping. DO NOT BUY FROM THIS COMPANY. Great products but horrible customer service. Trust me, buy in store ONLY, not worth the hassle to be accused as a customer to receive quality products on the dates you receive in an email. They claim “estimated” the whole time.",1," July 23, 2021","Fulshear, TX",Fulshear, TX,Williams Sonoma
33,"Company sent gift to wrong address, wrong state. Would not correct, will likely need to fight charge with credit card company. Spent not less than four hours on the phone with various representatives trying to correct issue with NO resolution. RUN don't walk!!!!",1," July 18, 2021","Buffalo, NY",Buffalo, NY,Williams Sonoma
34,"Placed an order for freezable beer glasses. When ordering it did NOT say on backorder until after order was placed (I looked). Order placed in June. Said would be delivered July 15. Now that July 15th passed they now say delivers August 5th. Canceled order! Found same item on Amazon, delivers in a day.",1," July 16, 2021","Cleveland, OH",Cleveland, OH,Williams Sonoma
35,"My experience with Williams Sonoma has been one of the worst customer experiences I have had. I purchase three items as a gift for a total of 250$. 10 days after placing the order, they emailed me that every single item was back ordered for three months. Called to cancel the rest of the order and customer service did not allow nor did they care about my frustration as a customer. Better off ordering from Amazon or directly from the suppliers as Williams Sonoma does not care about their clients!",1," July 14, 2021","Miami, FL",Miami, FL,Williams Sonoma
36,"I’m a bit of a foodie and cook a lot! I’ve set up both my indoor kitchen and outdoor kitchen with very nice appliances and cooking products. In doing so I’ve bought thousands of dollars worth of stuff from Williams Sonoma including 2 Breville espresso machines, cookware, knives, mixes and more. I bought a Williams Sonoma branded Scanpan set (stupidly paying much more at the “outlet store”)….",1," July 8, 2021","Colorado Springs, CO",Colorado Springs, CO,Williams Sonoma
38,"Williams-Sonoma has finally lost my business; no more a loyal Williams Sonoma (WS) customer after multiple issues over the years with customer service. The latest...To ensure delivery by Father's Day, I placed an order on 6/5/21 for a Grand Grill Daddy Cleaning Brush over the phone because of a glitch on the WS website that prevented me from completing my order. I received an order confirmation by email. The estimated delivery date was between 6/18-6/21.  ",1," June 15, 2021","Honolulu, HI",Honolulu, HI,Williams Sonoma
39,I ordered a Smeg coffee maker for $250 8 months ago. The coffee maker will no longer start. I called and inquired about a warranty and replacement of the item. I was informed that there was a 30 day warranty on the item (Which is not a warranty at all if you ask me). When I heard that I then asked if there was any way I could get a discount on a new coffee maker. I was informed that I could get a 15% discount on another coffee maker. After I refused the 15% they offered a 20% discount. I was and still am frustrated at the quality of the product and the effort of the associates and management. I had the coffee maker for less than a year and before it failed. I did not felt heard not that I mattered much as a customer.,1," June 11, 2021","Waterloo, IA",Waterloo, IA,Williams Sonoma
41,"Having accidentally taken a chunk of glass out of a Chemex coffee maker, I was desperate for an 8-cup glass-handled replacement that came from Williams Sonoma a number of years ago. My nearest Williams Sonoma wasn't stocking this model so I called Riverside Square's shop without success. However, this store had an extremely helpful sales associate, Ellen, who found exactly what I was looking for on the company's website and placed the order, shipping directly to my home. Ellen could be a poster child for great customer service! Williams Sonoma has excellent products and employees.",1," June 18, 2021","Clifton, NJ",Clifton, NJ,Williams Sonoma
42,"Williams-Sonoma has finally lost my business; no more a loyal Williams Sonoma (WS) customer after multiple issues over the years with customer service. The latest...To ensure delivery by Father's Day, I placed an order on 6/5/21 for a Grand Grill Daddy Cleaning Brush over the phone because of a glitch on the WS website that prevented me from completing my order. I received an order confirmation by email. The estimated delivery date was between 6/18-6/21.  ",1," June 15, 2021","Honolulu, HI",Honolulu, HI,Williams Sonoma
43,I ordered a Smeg coffee maker for $250 8 months ago. The coffee maker will no longer start. I called and inquired about a warranty and replacement of the item. I was informed that there was a 30 day warranty on the item (Which is not a warranty at all if you ask me). When I heard that I then asked if there was any way I could get a discount on a new coffee maker. I was informed that I could get a 15% discount on another coffee maker. After I refused the 15% they offered a 20% discount. I was and still am frustrated at the quality of the product and the effort of the associates and management. I had the coffee maker for less than a year and before it failed. I did not felt heard not that I mattered much as a customer.,1," June 11, 2021","Waterloo, IA",Waterloo, IA,Williams Sonoma
44,"The store did not have the items I wanted to purchase so an associate placed my order online on 4/23/2021. Items were estimated to arrive by 4/30/2021. Dinner plates and bowls arrived but not the salad plates, backordered they say. Today is 5/30/2021 just got off the phone with yet another representative as there was an authorization to my credit card. He ""thinks"" this means my item is ready to ship! This has been the utmost worst ordering experience that I have experienced. What makes it worse is that WS WAS one of my favorite stores! They never reached out with as much as an email to keep me up to date on what was happening with my order.",1," May 31, 2021","El Centro, CA",El Centro, CA,Williams Sonoma
45,"I purchased a product from them in February. 100+ days later, I am still waiting for my order. The customer service kept making excuses and empty promises. Basically, they refuse a refund for an order they fail to deliver. Don’t buy from William Sonoma.",1," May 25, 2021","Bangkok, Other",Bangkok, Other,Williams Sonoma
46,"On 3/2/2021 I order the Breville Sous Chef Peel & Dice Food Processor, 16-Cup (**) from my local Williams-Sonoma store and received a military discount. The original delivery date was not later than 4/5/2021. On 3/19/2021 I received an update stating the delivery date was pushed out to 5/3/2021. On 4/15/2021 I received a notification from Breville, the manufacture, stating the product was back in stock. I contacted them and asked if this notification also included retailers such as Williams-Sonoma and I was told yes. On 4/24/2021 I received another notification from Williams-Sonoma again pushing the delivery date to 5/31/2021.",1," May 22, 2021","San Diego, CA",San Diego, CA,Williams Sonoma
47,"I ordered a Le Creuset product from Williams Sonoma last week and received it 2 days ago. The box I received was damaged and looked worn, and upon opening, I found that the ceramic inside was cracked and missing a piece. Of note, the shipping box was perfectly intact. This made me think that they just sent whatever they had left which was a broken product in a beat-up box. I’ve had less than satisfactory experiences before with this company and had hoped those were just bad luck and uncommon events, but Customer Service has again been most unhelpful and unaccommodating. If I could give negative stars, I would, and I would suggest shopping at Sur La Table or any other company instead.",1," May 13, 2021","Fountain Valley, CA",Fountain Valley, CA,Williams Sonoma
48,"I purchased the Phillips air fryer from them. After 3 years of infrequent use, it began to make scary, super loud rattling noises and smoke when there was no food inside. It smelled of burned plastic, and I truly feared for my safety. I submitted a review conveying as much and it was published. Shortly thereafter, I received the following email from a Katie **, Sr. Lead:",1," May 8, 2021","Studio City, CA",Studio City, CA,Williams Sonoma
49,"On March 5, 2021, I ordered a Le Creuset 12"" enameled cast iron fry pan for $200.00 It was for an anniversary present on April 15. The original order said it would be delivered April 12-13, so I went for it. Current expected delivery date is now May10-11. More than two months for a fry pan. Inexcusable business incompetence.",1," April 30, 2021","Columbus, OH",Columbus, OH,Williams Sonoma
50,"1. I order a table on January 30th. Delivery estimate April 2nd-April 16th, which is a while, but it's a nice table, and I just need it here in time to host 3 family members in May.",1," April 30, 2021","Venice, CA",Venice, CA,Williams Sonoma
51,When I called to inquire they couldn't give my info at all...so I cancelled. When I requested a cancellation confirmation they could not send me one. Told me that I had wait for several days for my confirmation... so frightening.... I was really looking forward to receiving my purchase... Very disappointed with William-Sonoma...,1," April 22, 2021","Catano, PR",Catano, PR,Williams Sonoma
52,"I order cans of Illy Espresso, they came without lids. I tried to contact customer service repeatedly with no response. Later when I try again my emails bounce back. I guess they don't have time to serve the customer. Never buy anything from them again. One star, cant give zero.",1," April 22, 2021","Jackson, MI",Jackson, MI,Williams Sonoma
53,I’ve never purchased an item from them before. My original order was filled in a timely manner. The item was defective and I went through the normal process of returning the item for a replacement. That’s when I got jaw dropping lies and deceit. After a month I’d call customer service and they would say “oh your item will be delivered next week.” Nothing arrived. I’ve done this three times and each time the agent tells me the same thing that my order is only days away from delivery. All lies. Product has never been replaced and it’s been four months. You don’t have to wonder why Amazon is so successful and places like this struggle and eventually disappear. I’ll never order anything from them again. Never.,1," April 9, 2021","Stuart, FL",Stuart, FL,Williams Sonoma
54,We placed an order in December 2020 - for several items - orders kept getting delayed for months - then about 1 month ago - half of the pieces of a king bed were delivered. The drivers had no idea where the rest of the bed was - I have made over 35 phone calls about this bed and once I got a phone call back from a rep who said they are working on it - complained twice to the corporate office - not even a phone call back - we still have half a bed and no solution - are they kidding me? Not sure who is running this company - horrible and incredibly frustrating! This is after several other orders with them had issues as well - they just don’t care - unbelievable,1," April 8, 2021","Brielle, NJ",Brielle, NJ,Williams Sonoma
55,I have been buying Williams Sonoma pop-up sponges for years and they used to be very good quality. My last package of sponges are not the same quality and are falling apart and flaking after only a few days of use. I wrote the company and got no response. I called customer service a few weeks ago and was informed that they had changed sponge suppliers. I called again today after seeing the second sponge in the package disintegrate. I was informed that they could not refund or replace because the package of sponges had been opened. I like the logic. Was I to know after using their sponges for years that my new package was going to be junk. I was offered a $5.00 discount on a set of 12 sponges that sell for $18.95. I said no thank you and informed them they had just lost a customer. I would love to attach a picture of the sponge but not sure I can.,1," April 6, 2021","Cheyenne, WY",Cheyenne, WY,Williams Sonoma
56,"Negative stars if possible. Beware of Williams Sonoma's terrible customer service. It has been 2 months and they still refuse to deliver or cancel my order of a Smeg milk frother, despite my reaching out multiple times. For context, I ordered a black version - it was listed as available - on Feb 15, 2021, with estimated delivery date of Feb 25. Then the nightmare starts: Feb 25, 2021: Came & went and I never got my order. Feb 26, 2021: Received email saying delivery date delayed till Mar 10, 2021. This was for a birthday and that was too late, but fine, I am thinking it is still close enough.",1," April 5, 2021","Princeton, NJ",Princeton, NJ,Williams Sonoma
57,"Horrible customer service from Williams Sonoma. If I could rate zero stars - I would. Ordered online an item in early Feb. Received several notices the item was delayed. Received a notice this morning (end of March) there was a problem with the payment. Called customer service and they charged my credit card again, this time it went through. AFTER they charged my card - was told they no longer have the item and could cancel the order BUT the charge would not be reversed for 7 - 10 days. Would not void the charge made minutes prior, would not give me a cancellation confirmation number - said they don't have those (which is nonsense because every transaction on a credit card generates an id number) and refused to allow me to speak to a supervisor. Totally bogus scam to grab my money for an item they didn't even have and then hold my money for a week. Disgusting.",1," March 27, 2021","Boca Raton, FL",Boca Raton, FL,Williams Sonoma
58,I ordered the Bartesian cocktail maker along with 3 cocktail packs with 6 per pack. When I ordered these items they all said in stock. My package arrived with just the machine and no cocktail packs. They were back ordered. It took almost 15 more days to get them. When I do get them 1 of them has already expired 2 months prior. I call customer service to get a replacement and the rep was rude. She seemed to be unapologetic and bothered by my call for their mess up. The bottom line is this experience made me not want to order from them again.,1," March 20, 2021","Bremerton, WA",Bremerton, WA,Williams Sonoma
59,"I ordered an item January 16, 2021 and was given the estimated delivery date of January 28, 2021. On January 29, 2021, I received an email indicating the following: ""We're sorry to report that there has been a delay in the shipment of your items. Items delivered by package carrier will be shipped as soon as available."" The email also indicated that the item is backordered. The estimated date of delivery was now February 10, 2021. On February 6, 2021, I received another email stating that this item is backordered and won't be shipped until April 26, 2021. I was not told until February 6th the email that this item is backordered. ",1," March 17, 2021","Chicago, IL",Chicago, IL,Williams Sonoma
60,"Don't use WS online, they have absolutely no clue how to drive an e-commerce business. Here are all their problems:",1," March 14, 2021","Jacksonville, FL",Jacksonville, FL,Williams Sonoma
61,I have ordered from Williams-Sonoma for years and finally this year without being able to go out shopping I accepted their offer for a credit card. What a mistake. Everything I have ordered from them has been backordered. Funny how I didn't want to write this review as I wanted to give them a chance. But after reading all of these reviews. This has become a 2020-2021 SWITCH AND BAIT company. Everything is LISTED IN STOCK TO SHIP IMMEDIATELY - NEVER HAPPENS. Everything I have ordered since November is STILL ON BACKORDER so that means they are not paying their bills to their suppliers and they have been cut off of ordering new merchandise. The last order that was to be shipped out IMMEDIATELY I got an email today stating SEPTEMBER 1ST ARRIVAL. ,1," March 6, 2021","Casselberry, FL",Casselberry, FL,Williams Sonoma
62,"I purchased dinnerware for 12, upon arrival 6 of the plates were defective, upon washing the ""dishwasher safe"" dinnerware, additional plates showed ""crazing"". I returned all of the dinnerware. The credits were less than the total purchases. I contacted them and got some of the additional credits due, but there still was a credit due. I called 5+ times, with promises that they would have a Supervisor review the issue and get back to me....never did get a call back. Finally, I submitted a dispute with AMEX and provided them all of the charges and the credits showing the balance I was owed. WmS didn't respond to AMEX so they processed the credit. Then I received a very tersely letter from WmS stating I needed to call them immediately! ",1," March 4, 2021","Mount Dora, FL",Mount Dora, FL,Williams Sonoma
63,"We are on the second product backorder since end of December 2020. The first item, a Le Creuset pan, was listed as in stock online when ordered on December 31. A couple weeks later I went to check on shipping and it was listed as backordered until February. I was pretty upset at how disingenuous it was to list something as in stock and then show as backordered for so long after I already submitted the order. I called to cancel the order. After some confusion with the original phone rep, I was thankfully get our gift card reissued during a second call.",1," March 4, 2021","Arlington, VA",Arlington, VA,Williams Sonoma
64,"I purchased the above product October 4, 2019, and have used it just a handful of times exclusively for spaghetti sauce. When I was cleaning it just a few weeks ago, I noticed that the bumps in the finish on the insides (I really think this was a manufacturing defect that didn't get QC'd as you can feel where it bubbled up in the finish) was starting to peel and these bumps are now stark white pimples without the ""patented stratanium plus nonstick finish"" that is purported to never crack, peel or break and is indeed peeling and/or cracking. I have followed their cleaning guidelines and never used harsh cleaners and have only used Dawn and a nylon scrubbing pad to clean it by hand. It is dishwasher safe, but I learned after putting it in the dishwasher the first time I used it that it discolors the aluminum on the bottom of the pan and have only handwashed it since.",1," March 2, 2021","Cleveland, MN",Cleveland, MN,Williams Sonoma
65,I’ve bought a lot of expensive things from Williams-Sonoma and feels like I should just stop supporting them. Ordered Breville Bit More toaster and it placed the order just fine except after the other notified me casually that it will ship in 3 months. Are you kidding me??? I can get the same item in 2 days from Amazon. Why would you let customers order backordered items in the first place without clearing stating that it is out of stock and will be restocked in a few months.,1," Feb. 25, 2021","Seattle, WA",Seattle, WA,Williams Sonoma
66,I ordered a Wusthof carving set on January 14th that was reported on back order. Estimated delivery was changed from January to a date in March. I attempted to cancel the order on February 9th and was told I couldn't because it was in process. I was told by the customer representative that I could return the order once received. I received the order on February 9th and it will not allow me to return. I have already emailed customer service on two occasions. Once on February 9th and then again today without even a response.,1," Feb. 22, 2021","Shreveport, LA",Shreveport, LA,Williams Sonoma
67,"My husband ordered an Ember mug for his boss's birthday which is February 20th and it shows in stock online with an arrival date of 19th. So to be safe it arrives in time I chose rush shipping and we pay $26 dollars extra for it so if says it will arrive in 16th, so on the 15th I check on status and it shows back ordered which is not what it showed when I ordered and I go on the site and none of the mugs show as back ordered. So I call customer service and they say no worries that when it is back in stock they will still send it rush shipping. LOL. Are you kidding me? I told her the reason I chose rush shipping was because I needed it at certain date LOL and I said, ""It’s a lie what you're doing,"" and she didn’t disagree.",1," Feb. 17, 2021","Jamestown, NY",Jamestown, NY,Williams Sonoma
68,"I ordered a dish set back in September of 2020. It was shipped without any internal foundation, bubble wrap, or protective barrier. The box was damaged, so I called in and was told that I would receive a store credit. I patiently awaited, though after two months—no response. So, I called and spoke with manager, and was told that the purchase would be credited to my card (1hr. call), and that the rep who promised the card wrote in the notes that I called and said I was busy and would call back. ",1," Feb. 11, 2021","Chicago, IL",Chicago, IL,Williams Sonoma
